Rank in 2020,Rank in 2019,Institution Name,Country,SIZE,FOCUS,RESEARCH INTENSITY,AGE,STATUS,AcademicSCORE,AcademicRANK,EmpSCORE,EmpRANK,RatioSCORE,RatioRANK,CiteSCORE,CiteRANK,IntFacSCORE,IntFacRANK,IntStuSCORE,IntStuRANK,Overall Score
1,1,Massachusetts Institute of Technology (MIT),United States,M,CO,VH,5,B,100,5,100,4,100,15,99.8,7,100,43,94.1,87,100
2,2,Stanford University,United States,L,FC,VH,5,B,100,4,100,5,100,12,98.6,13,99.8,62,67.7,196,98.4
3,3,Harvard University,United States,L,FC,VH,5,B,100,1,100,1,98.7,40,99.6,8,86.3,186,62.2,221,97.4
4,5,University of Oxford,United Kingdom,L,FC,VH,5,A,100,3,100,3,100,8,84.7,45,99.7,64,98.5,50,97.2
5,4,California Institute of Technology (Caltech),United States,S,CO,VH,5,B,97.8,23,81.2,74,100,4,100,4,99.4,72,87.3,121,96.9
6,7,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,L,CO,VH,5,A,98.4,22,96.7,25,85,113,98.4,15,100,19,98,53,95.9
7,6,University of Cambridge,United Kingdom,L,FC,VH,5,A,100,2,100,2,100,10,74.2,74,100,58,97.6,58,95
8,10,UCL (University College London),United Kingdom,XL,FC,VH,5,A,99.3,14,98.7,18,98.1,43,76.7,68,99.1,79,100,16,94.8
9,8,Imperial College London,United Kingdom,L,FC,VH,5,A,98.6,21,99.9,9,99.8,30,72.1,85,100,46,100,14,94.1
10,9,University of Chicago,United States,L,FC,VH,5,B,99.5,13,93.7,37,96.5,54,78.5,60,70.2,249,81,143,92
11,12,Nanyang Technological University (NTU),Singapore,L,FC,VH,3,A,92.1,37,93.8,35,93.9,66,88.8,36,100,21,74.2,169,91.8
12,11,National University of Singapore (NUS),Singapore,XL,FC,VH,5,A,99.8,11,99.2,14,88.3,89,75.7,71,100,23,76.4,158,91.8
13,13,Princeton University,United States,M,CO,VH,5,B,99.9,10,98.6,19,70.7,192,100,3,64.9,272,67.6,197,90.9
